Gene symbol	B cell	CD4 Naive	CD4 Memory	CD8 Naive	CD8 Memory	CD8 Effector	Treg cell	Th cell	Monocytes CD14	Monocytes CD16	DC	pDC	NK	Plasma
ZDHHC12	47.63198109	45.96393989	53.78502082	47.26245663	45.70220095	60.46438579	54.87526737	57.10380483	54.80118733	76.05332455	48.37103439	132.4062091	86.36310758	71.99251697
ZMAT5	8.557761398	8.321347365	10.42139312	9.131408163	7.928010435	14.47842998	21.89971093	16.73046467	9.83285343	16.28359886	10.17615754	16.67939053	20.90428766	14.33370811
CCND2	2.359653617	5.437863218	8.194858351	5.611472485	6.156681352	8.462837105	5.609452156	5.583974291	1.1243538	0.783641223	2.213175127	2.038681055	14.22692264	5.324751263
CCR10	1.10132047	1.045022895	21.74693937	0.395803064	5.942862856	1.400778847	76.91902005	24.29766142	1.756519143	0.585274356	0.704531413	0	0.346857728	64.03932705
FOXP3	0.326125132	1.132037717	3.750254035	0.188142314	0.737437787	0.141187197	24.25738166	3.500208956	0.082313923	0.218035847	0.1806546	0	0.085582326	0
IL2RA	2.741674151	1.665482516	8.944268658	0	2.965510819	0.296407368	22.78347596	3.715232854	0.355371745	0.307369258	0.392492364	0	0.58017447	1.391209298
LAT	10.48364409	177.1545059	181.8998522	152.9009153	181.82589	237.8972021	331.7183736	332.5168884	7.731442318	11.48472474	10.55282381	5.213830206	167.6690112	29.17928905
SH2D1A	2.88694324	24.26746934	24.85480845	13.14749213	26.47461868	112.1563249	23.64427879	24.03480103	1.904408845	3.706464415	2.26682587	1.181608621	71.08964646	3.352624637
SIRPG	1.860637602	32.53392991	34.42414371	38.72472622	35.48903398	24.86082089	64.58956575	60.65229749	0.948621349	1.81982326	3.484658033	2.347487077	2.513979412	7.956688711
PFN1	1181.129512	1267.622908	1735.253571	1150.200803	1815.497036	2921.509381	3561.451958	3049.718333	2164.643855	3507.971857	2680.824402	1950.404881	4290.615089	1116.488363
RPS12	22925.13559	30359.02866	26871.82376	33978.03109	29276.5505	20726.87103	18693.4056	19454.10684	13604.20881	12264.41529	15381.46266	20824.69921	12348.18466	13494.43945
ACTG1	642.5109479	693.371865	977.5043369	706.4001598	896.9131029	1266.584407	1251.454843	1130.914622	888.1718317	1183.550692	1673.080232	1163.318119	1690.551968	1183.331644
RPL26	12738.27934	12055.695	11860.53019	12140.93911	11674.03251	11502.19753	9500.248728	9994.35968	10530.34911	9133.146499	10585.69845	10331.45696	8645.008085	7654.855912
RPL35A	11969.2841	14193.55451	12343.77562	13846.1679	12214.78418	10300.27571	9853.681247	10942.68586	8698.366555	6661.196494	8651.232126	9454.633709	7084.538449	8925.712104
RPL27A	1408.905506	1529.567133	1406.859623	1548.880283	1487.765117	1296.018557	998.8788032	1061.564529	794.0287314	839.8740081	1042.237371	1062.590588	857.6409582	1048.652504
CORO1A	345.4956549	332.0650007	363.3072322	314.9361687	369.2207537	477.3503824	651.7637328	569.7831555	364.847416	535.8180993	448.0651232	435.4345458	558.0831877	315.1824358
S1PR4	108.25753	111.6855357	142.5160646	96.73414626	119.3800405	173.3755957	312.5278518	237.0511325	48.7322303	143.9061679	56.51852842	35.54532006	164.9363861	131.0098617
UCP2	518.6666053	250.6273442	289.9125762	208.0654306	244.1870102	409.8898386	441.9076354	336.081875	247.512855	405.3151705	325.5953428	907.7441978	768.3515191	364.5448859
TBCC	49.26790854	87.55882764	81.2708516	84.99344985	83.52611632	98.20048908	107.6129907	75.41405992	32.03162476	31.81344968	39.34563037	65.34297565	124.5358775	47.93276465
CORO1B	7.430444862	38.13051434	68.66601855	14.0250064	23.3735781	20.01964244	122.1000256	110.5591382	31.34143734	62.47744373	39.68064491	22.84280731	18.4215241	26.84771004
TBC1D10C	145.1331544	138.7344853	140.1795587	138.769493	157.1131335	221.4557828	302.4253836	265.3620856	32.2169477	107.5964902	48.01620279	68.97992449	281.8254255	82.3012075
HOXB2	6.481924291	15.37700531	22.27855651	13.0076782	13.22131857	18.92642978	107.7479131	89.97994181	11.1632956	5.825630809	15.79989979	37.75951203	61.6565966	0
AQP3	3.371644945	57.12685156	117.5744415	26.01082804	44.51981621	14.51907724	122.2726361	99.08122398	1.79246825	3.325679659	4.747499264	5.486658548	4.339623704	166.6178908
YPEL3	42.83982909	36.41821563	33.41466479	30.8300126	34.01605245	51.99441313	87.63505789	73.36044007	41.31118202	28.82952299	28.74825465	16.991889	71.82984744	43.48932377
H2AFJ	8.506112423	16.95482548	17.97692994	16.68336873	21.01894043	18.90262715	28.88740559	24.68503194	42.8349931	27.99247062	34.18555023	12.01090734	27.77802035	23.46157969
PDZD11	14.34704756	17.9350209	25.25492358	15.09942699	25.36585226	37.59142771	37.00855211	23.17083905	13.82886021	39.27979754	16.25485394	28.99293485	53.76863883	23.72495159
MRPL16	52.93757924	59.67392828	60.4033399	62.96854998	66.15694926	80.92196519	71.94658237	70.36624782	66.21897678	75.64242858	83.2813516	101.0413797	109.5006258	100.9141258
TNFRSF14	27.11421907	22.6363548	26.91628274	19.09093888	20.83988732	30.81697059	38.13467052	27.95342405	19.14570782	35.68060158	15.15659781	15.96940399	39.94443377	24.68825241
DHPS	72.09526217	72.67429352	60.81893414	65.09473353	50.69571	71.46476052	92.50001938	93.66153813	57.3554733	62.47840043	64.79120404	74.74796924	68.57269496	59.08842057
CDC37	74.83057658	75.38265867	91.71760312	62.16663702	93.74405921	134.0189141	152.3662548	150.5790579	81.68512983	95.52763722	104.2946723	112.9812543	148.5724421	112.9722015
OCIAD2	218.9712221	321.9559591	342.646446	291.8086438	309.9613558	280.4142861	420.7066533	368.0295445	12.15011071	18.3720278	35.77508568	215.8360915	203.3994692	134.5075272
DCTPP1	87.93174054	44.76969502	55.51869698	37.87006586	41.85118114	55.59296669	69.786709	73.71940392	27.49210565	55.31649797	83.49104348	110.0225346	64.66246977	53.69506242
CRIP2	13.29960804	23.18523669	64.2503062	13.62873174	45.43870347	7.885998138	120.4352363	88.22369779	2.836236533	2.819665273	6.336578526	1.233549801	5.375660802	10.46850252
NABP2	16.91021849	11.79496493	16.12126604	14.60402608	20.48104154	32.65059685	32.5883626	23.31583636	11.53271435	19.41740616	16.47534741	11.87070452	33.3515027	34.33803433
PSMB5	29.65573281	44.88570732	36.80898668	36.9919307	34.49581706	44.81742881	36.51086433	55.51718321	66.07475372	54.9621846	70.10173901	94.8306437	54.28362839	121.3149682
NSUN5	23.0660644	14.10304243	11.60518097	10.04811814	11.652681	12.5137382	21.19005874	22.76161005	9.531595712	9.95644352	12.85894686	17.00923364	15.71760036	6.485174494
SNRPA	43.62513651	37.20091046	43.43409099	38.99561909	50.28368572	50.13120211	87.09581452	74.147572	22.68585749	21.7477471	55.22488656	54.982164	43.41888286	42.96758342
